Cluster,Customers,Mean_Age,Mean_Income_k,Mean_Spending_Score,Female_Share,Persona
0,33,41.93939393939394,88.93939393939394,16.96969696969697,0.42424242424242425,Midlife affluent cautious
1,45,56.333333333333336,54.266666666666666,49.06666666666667,0.5777777777777777,Mature mid-income mainstream
2,24,25.25,25.833333333333332,76.91666666666667,0.5833333333333334,Young budget enthusiasts
3,39,32.69230769230769,86.53846153846153,82.12820512820512,0.5384615384615384,Young affluent enthusiasts
4,38,26.68421052631579,57.578947368421055,47.78947368421053,0.631578947368421,Young mid-income mainstream
5,21,45.523809523809526,26.285714285714285,19.38095238095238,0.6190476190476191,Mature budget cautious
